sourceid,relation,targetid
DB00349,dr-di,D001008
DB00349,dr-di,D001259
DB00349,dr-di,D003251
DB00349,dr-di,D004830
DB00349,dr-di,D006029
DB00349,dr-di,D006970
DB00349,dr-di,D007037
DB00349,dr-di,D009207
DB00349,dr-di,D010291
DB00349,dr-di,D011507
DB00349,dr-di,D012640
DB00349,dr-di,D013262
DB00349,dr-di,D013375
DB00349,dr-di,D017674
DB00349,dr-di,D019954
DB00349,dr-di,D020301
DB00361,dr-di,D000077192
DB00361,dr-di,D000230
DB00361,dr-di,D000380
DB00361,dr-di,D000505
DB00361,dr-di,D000740
DB00361,dr-di,D000787
DB00361,dr-di,D000855
DB00361,dr-di,D001247
DB00361,dr-di,D001281
DB00361,dr-di,D001282
DB00361,dr-di,D001342
DB00361,dr-di,D001943
DB00361,dr-di,D002277
DB00361,dr-di,D002289
DB00361,dr-di,D002294
DB00361,dr-di,D002318
DB00361,dr-di,D002493
DB00361,dr-di,D003248
DB00361,dr-di,D003872
DB00361,dr-di,D003967
DB00361,dr-di,D004487
DB00361,dr-di,D004890
DB00361,dr-di,D005221
DB00361,dr-di,D005334
DB00361,dr-di,D005767
DB00361,dr-di,D006258
DB00361,dr-di,D006312
DB00361,dr-di,D006319
DB00361,dr-di,D006331
DB00361,dr-di,D006333
DB00361,dr-di,D006402
DB00361,dr-di,D006973
DB00361,dr-di,D007010
DB00361,dr-di,D007177
DB00361,dr-di,D007674
DB00361,dr-di,D007970
DB00361,dr-di,D008113
DB00361,dr-di,D008171
DB00361,dr-di,D008175
DB00361,dr-di,D008545
DB00361,dr-di,D008654
DB00361,dr-di,D009135
DB00361,dr-di,D009203
DB00361,dr-di,D009325
DB00361,dr-di,D009362
DB00361,dr-di,D009369
DB00361,dr-di,D009422
DB00361,dr-di,D009437
DB00361,dr-di,D009503
DB00361,dr-di,D010051
DB00361,dr-di,D010146
DB00361,dr-di,D010190
DB00361,dr-di,D010198
DB00361,dr-di,D010292
DB00361,dr-di,D010523
DB00361,dr-di,D010689
DB00361,dr-di,D011115
DB00361,dr-di,D011471
DB00361,dr-di,D011655
DB00361,dr-di,D013118
DB00361,dr-di,D013280
DB00361,dr-di,D013921
DB00361,dr-di,D013923
DB00361,dr-di,D014012
DB00361,dr-di,D014652
DB00361,dr-di,D014839
DB00361,dr-di,D015433
DB00361,dr-di,D017093
DB00361,dr-di,D017202
DB00361,dr-di,D018805
DB00361,dr-di,D020246
DB00361,dr-di,D020258
DB00361,dr-di,D052016
DB00361,dr-di,D064420
DB01136,dr-di,D000419
DB01136,dr-di,D000787
DB01136,dr-di,D001145
DB01136,dr-di,D001281
DB01136,dr-di,D001282
DB01136,dr-di,D001342
DB01136,dr-di,D001919
DB01136,dr-di,D002311
DB01136,dr-di,D002312
DB01136,dr-di,D003072
DB01136,dr-di,D003704
DB01136,dr-di,D003875
DB01136,dr-di,D003925
DB01136,dr-di,D004195
DB01136,dr-di,D004244
DB01136,dr-di,D004719
DB01136,dr-di,D005334
DB01136,dr-di,D005910
DB01136,dr-di,D006261
DB01136,dr-di,D006323
DB01136,dr-di,D006330
DB01136,dr-di,D006331
DB01136,dr-di,D006332
DB01136,dr-di,D006333
DB01136,dr-di,D006940
DB01136,dr-di,D006973
DB01136,dr-di,D006975
DB01136,dr-di,D006976
DB01136,dr-di,D006977
DB01136,dr-di,D007022
DB01136,dr-di,D007024
DB01136,dr-di,D007249
DB01136,dr-di,D007333
DB01136,dr-di,D007674
DB01136,dr-di,D007676
DB01136,dr-di,D008569
DB01136,dr-di,D009069
DB01136,dr-di,D009202
DB01136,dr-di,D009203
DB01136,dr-di,D009205
DB01136,dr-di,D009336
DB01136,dr-di,D011183
DB01136,dr-di,D011507
DB01136,dr-di,D011537
DB01136,dr-di,D011782
DB01136,dr-di,D012206
DB01136,dr-di,D012893
DB01136,dr-di,D013262
DB01136,dr-di,D013610
DB01136,dr-di,D014693
DB01136,dr-di,D015427
DB01136,dr-di,D015428
DB01136,dr-di,D015431
DB01136,dr-di,D016584
DB01136,dr-di,D016757
DB01136,dr-di,D017180
DB01136,dr-di,D017202
DB01136,dr-di,D017379
DB01136,dr-di,D018366
DB01136,dr-di,D018487
DB01136,dr-di,D018754
DB01136,dr-di,D019970
DB01136,dr-di,D020244
DB01136,dr-di,D020257
DB01136,dr-di,D020521
DB01136,dr-di,D023921
DB01136,dr-di,D051437
DB01136,dr-di,D054058
DB01136,dr-di,D054537
DB01136,dr-di,D056486
DB01136,dr-di,D058186
DB01136,dr-di,D062787
DB01136,dr-di,D064420
DB01136,dr-di,D066126
DB00542,dr-di,D000419
DB00542,dr-di,D000799
DB00542,dr-di,D001281
DB00542,dr-di,D002277
DB00542,dr-di,D002311
DB00542,dr-di,D003371
DB00542,dr-di,D003928
DB00542,dr-di,D004719
DB00542,dr-di,D005355
DB00542,dr-di,D005921
DB00542,dr-di,D005923
DB00542,dr-di,D006333
DB00542,dr-di,D006505
DB00542,dr-di,D006943
DB00542,dr-di,D006946
DB00542,dr-di,D006973
DB00542,dr-di,D006977
DB00542,dr-di,D006984
DB00542,dr-di,D007333
DB00542,dr-di,D007410
DB00542,dr-di,D007674
DB00542,dr-di,D007676
DB00542,dr-di,D009374
DB00542,dr-di,D009389
DB00542,dr-di,D009400
DB00542,dr-di,D009404
DB00542,dr-di,D011507
DB00542,dr-di,D012206
DB00542,dr-di,D013262
DB00542,dr-di,D014511
DB00542,dr-di,D015428
DB00542,dr-di,D015431
DB00542,dr-di,D017202
DB00542,dr-di,D017379
DB00542,dr-di,D018149
DB00542,dr-di,D018487
DB00542,dr-di,D020257
DB00542,dr-di,D024821
DB00542,dr-di,D050197
DB00542,dr-di,D051437
DB00542,dr-di,D054058
DB00542,dr-di,D058186
DB01097,dr-di,D000015
DB01097,dr-di,D001168
DB01097,dr-di,D001169
DB01097,dr-di,D001172
DB01097,dr-di,D002972
DB01097,dr-di,D003967
DB01097,dr-di,D004892
DB01097,dr-di,D005234
DB01097,dr-di,D006345
DB01097,dr-di,D006417
DB01097,dr-di,D006973
DB01097,dr-di,D007970
DB01097,dr-di,D008103
DB01097,dr-di,D009395
DB01097,dr-di,D009436
DB01097,dr-di,D010198
DB01097,dr-di,D010523
DB01097,dr-di,D011115
DB01097,dr-di,D013262
DB01097,dr-di,D014657
DB01097,dr-di,D017880
DB01097,dr-di,D019465
DB01097,dr-di,D056486
DB00555,dr-di,D001259
DB00555,dr-di,D001416
DB00555,dr-di,D001480
DB00555,dr-di,D001714
DB00555,dr-di,D001778
DB00555,dr-di,D002653
DB00555,dr-di,D002819
DB00555,dr-di,D003072
DB00555,dr-di,D003693
DB00555,dr-di,D003866
DB00555,dr-di,D003875
DB00555,dr-di,D004172
DB00555,dr-di,D004211
DB00555,dr-di,D004244
DB00555,dr-di,D004342
DB00555,dr-di,D004421
DB00555,dr-di,D004487
DB00555,dr-di,D004802
DB00555,dr-di,D004827
DB00555,dr-di,D004829
DB00555,dr-di,D004830
DB00555,dr-di,D004831
DB00555,dr-di,D004832
DB00555,dr-di,D005076
DB00555,dr-di,D005221
DB00555,dr-di,D005334
DB00555,dr-di,D005767
DB00555,dr-di,D006212
DB00555,dr-di,D006261
DB00555,dr-di,D006323
DB00555,dr-di,D006529
DB00555,dr-di,D006930
DB00555,dr-di,D006948
DB00555,dr-di,D007172
DB00555,dr-di,D007319
DB00555,dr-di,D007565
DB00555,dr-di,D007859
DB00555,dr-di,D008206
DB00555,dr-di,D008569
DB00555,dr-di,D008582
DB00555,dr-di,D009069
DB00555,dr-di,D009102
DB00555,dr-di,D009207
DB00555,dr-di,D009410
DB00555,dr-di,D009422
DB00555,dr-di,D009437
DB00555,dr-di,D010198
DB00555,dr-di,D010302
DB00555,dr-di,D011014
DB00555,dr-di,D011537
DB00555,dr-di,D011605
DB00555,dr-di,D012206
DB00555,dr-di,D012559
DB00555,dr-di,D012640
DB00555,dr-di,D013226
DB00555,dr-di,D013262
DB00555,dr-di,D013375
DB00555,dr-di,D014202
DB00555,dr-di,D017114
DB00555,dr-di,D019964
DB00555,dr-di,D019970
DB00555,dr-di,D056486
DB00555,dr-di,D064420
DB01149,dr-di,D001008
DB01149,dr-di,D001480
DB01149,dr-di,D001714
DB01149,dr-di,D001919
DB01149,dr-di,D003128
DB01149,dr-di,D003221
DB01149,dr-di,D003865
DB01149,dr-di,D003866
DB01149,dr-di,D006261
DB01149,dr-di,D006331
DB01149,dr-di,D006501
DB01149,dr-di,D006505
DB01149,dr-di,D007565
DB01149,dr-di,D008107
DB01149,dr-di,D009127
DB01149,dr-di,D009207
DB01149,dr-di,D009220
DB01149,dr-di,D012206
DB01149,dr-di,D012735
DB01149,dr-di,D012893
DB01149,dr-di,D014786
DB01149,dr-di,D017093
DB01149,dr-di,D017109
DB01149,dr-di,D017114
DB01149,dr-di,D019970
DB01149,dr-di,D020230
DB01149,dr-di,D051437
DB01149,dr-di,D056486
DB00519,dr-di,D000419
DB00519,dr-di,D000799
DB00519,dr-di,D003329
DB00519,dr-di,D003371
DB00519,dr-di,D004487
DB00519,dr-di,D006261
DB00519,dr-di,D006333
DB00519,dr-di,D006973
DB00519,dr-di,D008569
DB00519,dr-di,D009069
DB00519,dr-di,D009203
DB00519,dr-di,D009325
DB00519,dr-di,D011507
DB00519,dr-di,D013262
DB00519,dr-di,D014717
DB00519,dr-di,D015427
DB00519,dr-di,D015431
DB00519,dr-di,D017202
DB00519,dr-di,D017379
DB00519,dr-di,D018487
DB00519,dr-di,D019636
DB00519,dr-di,D051437
DB00758,dr-di,D000380
DB00758,dr-di,D000741
DB00758,dr-di,D000799
DB00758,dr-di,D001157
DB00758,dr-di,D001281
DB00758,dr-di,D002318
DB00758,dr-di,D002543
DB00758,dr-di,D002545
DB00758,dr-di,D002546
DB00758,dr-di,D002779
DB00758,dr-di,D003324
DB00758,dr-di,D003327
DB00758,dr-di,D003328
DB00758,dr-di,D003925
DB00758,dr-di,D004342
DB00758,dr-di,D004417
DB00758,dr-di,D005076
DB00758,dr-di,D005334
DB00758,dr-di,D006212
DB00758,dr-di,D006261
DB00758,dr-di,D006463
DB00758,dr-di,D006470
DB00758,dr-di,D006505
DB00758,dr-di,D006987
DB00758,dr-di,D007431
DB00758,dr-di,D007970
DB00758,dr-di,D009203
DB00758,dr-di,D009325
DB00758,dr-di,D009336
DB00758,dr-di,D009362
DB00758,dr-di,D009503
DB00758,dr-di,D011655
DB00758,dr-di,D013262
